"Table with row headers in column A, and column headers in rows 5 through 6.",,,,,,,,,,,,,,
"Table 4c.  Reported Voting and Registration, by Age, for States: November 2020",,,,,,,,,,,,,,
(In thousands),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
STATE,Age,Total population,Total citizen population,Registered,,,,,Voted,,,,,
TEXAS,Total,"21,485","18,581","13,343",62.1,1.4,71.8,1.4,"11,874",55.3,1.4,63.9,1.5,
,18 to 24,"2,617","2,366","1,311",50.1,4.0,55.4,4.2,"1,024",39.1,3.9,43.3,4.2,
,25 to 34,"4,189","3,491","2,275",54.3,3.2,65.2,3.3,"1,912",45.6,3.2,54.8,3.5,
,35 to 44,"3,989","3,124","2,249",56.4,3.2,72.0,3.3,"1,983",49.7,3.3,63.5,3.6,
,45 to 64,"6,827","5,988","4,585",67.2,2.4,76.6,2.3,"4,201",61.5,2.4,70.2,2.4,
,65+,"3,862","3,613","2,923",75.7,2.9,80.9,2.7,"2,755",71.3,3.0,76.3,2.9,
UTAH,Total,"2,320","2,178","1,468",63.3,2.7,67.4,2.7,"1,386",59.7,2.8,63.6,2.8,
,18 to 24,425,401,225,52.9,6.6,56.2,6.8,201,47.3,6.6,50.1,6.8,
,25 to 34,459,416,273,59.4,6.3,65.5,6.4,247,53.8,6.4,59.3,6.6,
,35 to 44,407,382,252,61.9,6.6,66.0,6.6,236,57.9,6.7,61.8,6.8,
,45 to 64,661,622,444,67.1,5.0,71.3,5.0,432,65.4,5.1,69.5,5.0,
,65+,367,357,274,74.6,6.2,76.9,6.1,269,73.3,6.3,75.6,6.2,
VERMONT,Total,507,500,365,72.0,3.4,73.0,3.4,342,67.5,3.6,68.4,3.6,
,18 to 24,54,53,29,B,B,B,B,26,B,B,B,B,
,25 to 34,81,81,51,62.6,9.2,63.1,9.2,43,52.3,9.5,52.8,9.5,
,35 to 44,76,72,54,B,B,B,B,49,B,B,B,B,
,45 to 64,155,154,117,75.6,5.9,76.1,5.9,113,72.8,6.1,73.4,6.1,
,65+,140,140,114,81.3,5.6,81.8,5.6,111,79.2,5.9,79.6,5.8,
VIRGINIA,Total,"6,481","5,974","4,541",70.1,2.4,76.0,2.3,"4,275",66.0,2.5,71.5,2.4,
,18 to 24,730,668,405,55.5,7.7,60.6,7.9,346,47.4,7.7,51.8,8.1,
,25 to 34,"1,112",956,726,65.3,6.0,75.9,5.8,666,59.9,6.1,69.7,6.2,
,35 to 44,"1,078",925,732,67.9,5.9,79.1,5.6,671,62.2,6.2,72.5,6.1,
,45 to 64,"2,176","2,084","1,609",74.0,3.9,77.2,3.8,"1,570",72.2,4.0,75.3,3.9,
,65+,"1,385","1,341","1,069",77.2,4.7,79.7,4.6,"1,022",73.8,4.9,76.2,4.9,
WASHINGTON,Total,"5,993","5,389","4,029",67.2,2.5,74.8,2.4,"3,854",64.3,2.6,71.5,2.5,
,18 to 24,556,516,287,51.6,8.8,55.6,9.1,271,48.6,8.8,52.4,9.1,
,25 to 34,"1,169",989,697,59.6,5.9,70.5,6.0,654,56.0,6.0,66.1,6.2,
,35 to 44,"1,148",983,739,64.4,5.9,75.1,5.7,698,60.8,6.0,71.0,6.0,
,45 to 64,"1,828","1,650","1,319",72.2,4.3,79.9,4.1,"1,264",69.1,4.5,76.6,4.3,
,65+,"1,292","1,250",987,76.4,4.9,79.0,4.8,967,74.8,5.0,77.3,4.9,
WEST VIRGINIA,Total,"1,397","1,379",928,66.4,3.4,67.3,3.4,773,55.3,3.6,56.1,3.6,
,18 to 24,155,153,71,46.1,10.8,46.7,10.9,53,34.2,10.3,34.6,10.4,
,25 to 34,195,191,117,60.1,9.5,61.3,9.5,79,40.7,9.5,41.5,9.6,
,35 to 44,213,209,144,67.6,8.7,68.7,8.7,119,56.2,9.2,57.1,9.3,
,45 to 64,471,462,319,67.9,5.8,69.1,5.8,274,58.3,6.2,59.3,6.2,
,65+,365,364,276,75.7,6.1,75.9,6.1,247,67.8,6.6,68.0,6.6,
WISCONSIN,Total,"4,538","4,421","3,391",74.7,2.7,76.7,2.6,"3,253",71.7,2.8,73.6,2.7,
,18 to 24,581,577,333,57.4,8.5,57.8,8.5,323,55.6,8.5,56.0,8.5,
,25 to 34,762,714,582,76.4,6.3,81.5,6.0,557,73.1,6.6,78.0,6.4,
,35 to 44,650,617,437,67.2,7.6,70.8,7.5,426,65.5,7.7,69.1,7.7,
,45 to 64,"1,604","1,572","1,241",77.4,4.3,79.0,4.2,"1,171",73.0,4.6,74.5,4.5,
,65+,941,941,797,84.8,4.8,84.8,4.8,776,82.4,5.1,82.4,5.1,
WYOMING,Total,436,427,296,67.9,3.4,69.3,3.4,280,64.1,3.5,65.5,3.5,
,18 to 24,52,51,28,B,B,B,B,25,B,B,B,B,
,25 to 34,74,69,41,B,B,B,B,36,B,B,B,B,
,35 to 44,70,69,41,B,B,B,B,39,B,B,B,B,
,45 to 64,145,143,110,75.7,5.5,76.8,5.4,106,73.0,5.6,74.1,5.6,
,65+,96,95,76,79.5,6.3,80.1,6.3,73,76.0,6.7,76.6,6.6,
,,,,,,,,,,,,,,
1 This figure added to or subtracted from the estimate provides the 90-percent confidence interval.,,,,,,,,,,,,,,
NOTES: ,,,,,,,,,,,,,,
"The symbol B means that the base is less than 75,000 and therefore too small to show the derived measure.",,,,,,,,,,,,,,
Estimates may not sum to totals due to rounding.,,,,,,,,,,,,,,
"For information on confidentiality protection, sampling error, nonsampling error, and definitions, see hthttps://www.census.gov/programs-surveys/cps/technical-documentation/complete.2020.html",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, November 2020",,,,,,,,,,,,,,
